samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"09A2-4+16-14","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Pijpenstrootje Typische vorm",2,,"Veenmosrietland, subassociatie van pijpestrootje+RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps]","Pallavicinio-Sphagnetum molinietosum+RG Molinia caer-Sphagn pal-[Parvocar/J-Molinion]",1.7659000000000000e-01,"09A2b+16A-e",
"16B1-4+09A-1","vegetatie","Waterkruiskruid en Gewone dotterbloem Moerastruisgras en Zwarte zegge+Zwarte zegge en Moerasstruisgras Typische vorm",1,,"Ass. Boterbloem en Waterkruiskruid, typ. subass.+RG Zwarte zegge-Moerasstruisgras-[Vb. Zw. zegge]","Ranunculo-Senecionetum typicum+RG Carex nigra - Agrostis canina-[Caricion nig.]",3.9012999999999999e-02,"16B1a+09A-a",
"09A2-1+09A2-4","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",1,,"Veenmosrietland, typische subassociatie+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum molinietosum",8.6743000000000001e-02,"09A2a+09A2b",
"09A2-5+09A2-4+09-7","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Paddenrus veenmossen",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",4.2040000000000001e-02,"09A2b+09A2b+09-j",
"09A2-5+09A2-4+09-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Paddenrus Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",6.4115000000000005e-02,"09A2b+09A2b+09-j",
"09-9+09A2-4","vegetatie","haarmossen Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",1,,"DG Gewoon haarmos-[Klasse der kleine Zeggen]+Veenmosrietland, subassociatie van pijpestrootje","DG Polytrichum commune-[Parvocaricetea]+Pallavicinio-Sphagnetum molinietosum",9.8059999999999994e-02,"09/c+09A2b",
"09A2-5+09-6+09-7","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Paddenrus Typische vorm+Paddenrus veenmossen",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",1.1623500000000002e-01,"09A2b+09-j+09-j",
"09-6+09A2-1","vegetatie","Paddenrus Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm",1,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+Veenmosrietland, typische subassociatie","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+Pallavicinio-Sphagnetum typicum",1.1976000000000002e-01,"09-j+09A2a",
"09A2-5+09A2-2+09-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Paddenrus Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",1.6973099999999999e-01,"09A2b+09A2b+09-j",
"08B3-3+09A2-5","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Kamvaren, veenmossen en Ronde zonnedauw Paddenrus",1,,"Riet-associatie, subassociatie van Moerasvaren+Veenmosrietland, subassociatie van pijpestrootje","Typho-Phragmitetum thelypteridetosum+Pallavicinio-Sphagnetum molinietosum",2.3236700000000002e-01,"08B3c+09A2b",
"09-6+09A2-5","vegetatie","Paddenrus Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Paddenrus",3,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+Veenmosrietland, subassociatie van pijpestrootje","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+Pallavicinio-Sphagnetum molinietosum",2.9857100000000003e-01,"09-j+09A2b",
"09-6+19-1","vegetatie","Paddenrus Typische vorm+Pijpenstrootje Tandjesgras",2,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+RG Pijpestrootje-[K.veenbult.nat.hei/K.hei.gras]","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+RG Molinia caerulea-[Oxycoc-Sphagnetea/Nardetea]",1.9081399999999998e-01,"09-j+19-e",
"09A2-4+19-1","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Pijpenstrootje Tandjesgras",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Pijpestrootje-[K.veenbult.nat.hei/K.hei.gras]","Pallavicinio-Sphagnetum molinietosum+RG Molinia caerulea-[Oxycoc-Sphagnetea/Nardetea]",2.9202400000000001e-01,"09A2b+19-e",
"09A2-6+09A2-4","vegetatie","Riet met veenmossen Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",1,,"Veenmosrietland, typische subassociatie+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum molinietosum",2.0862400000000003e-01,"09A2a+09A2b",
"09A2-1+09-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Paddenrus Typische vorm",1,,"Veenmosrietland, typische subassociatie+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum typicum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",3.4652000000000002e-02,"09A2a+09-j",
"08B3-8+09A2-6","vegetatie","Riet, Hennegras en Moerasstruisgras Pijpenstrootje+Riet met veenmossen Typische vorm",1,,"Riet-associatie, soortenarme subassociatie+Veenmosrietland, typische subassociatie","Typho-Phragmitetum inops+Pallavicinio-Sphagnetum typicum",2.3312099999999999e-01,"08B3d+09A2a",
"08B3-8+09A2-6+08C-12","vegetatie","Riet, Hennegras en Moerasstruisgras Pijpenstrootje+Riet met veenmossen Typische vorm+Riet met grote zeggen Moeraszegge",1,,"Riet-associatie, soortenarme subassociatie+Veenmosrietland, typische subassociatie+RG Moeraszegge-[Verbond der grote Zeggen]","Typho-Phragmitetum inops+Pallavicinio-Sphagnetum typicum+RG Carex acutiformis-[Magnocaricion]",1.1925400000000000e-01,"08B3d+09A2a+08C-b",
"39A1-2+40A2-1","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Moeraskruiden+Zachte berk en Veenmossen Typische vorm",1,,"Moerasvaren-elzenbroek, typische subassociatie+Zompzegge-berkenbroek","Thelypterido-Alnetum typicum+Carici curtae-Betuletum pubescentis",4.1792499999999999e-01,"39A1a+40A2",
"09A2-1+09-9+09A2-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+haarmossen Pijpenstrootje+Riet met veenmossen Typische vorm",1,,"Veenmosrietland, typische subassociatie+DG Gewoon haarmos-[Klasse der kleine Zeggen]+Veenmosrietland, typische subassociatie","Pallavicinio-Sphagnetum typicum+DG Polytrichum commune-[Parvocaricetea]+Pallavicinio-Sphagnetum typicum",2.8148699999999999e-01,"09A2a+09/c+09A2a",
