samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"09-1+09A-4","vegetatie","Zwarte zegge en Moerasstruisgras Wateraardbei+Zwarte zegge en Moerasstruisgras Molinietaliasoorten",1,,"RG Snavelzegge-Wateraardbei-[Kl. kleine Zeggen]+RG Zwarte zegge-Moerasstruisgras-[Vb. Zw. zegge]","RG Carex rostrata - Potentilla pal.-[Parvocar.]+RG Carex nigra - Agrostis canina-[Caricion nig.]",9.8757999999999999e-02,"09-f+09A-a",
"32-9+32A1-1+08B3-4","vegetatie","Riet en ruigtkruiden Haagwinde+Riet en Moerasspirea Typische vorm+Riet, Moeraswalstro en Moerasvaren Typische vorm",1,,"RG Haagwinde - Riet-[Kl. natte strooiselruigten]+Associatie van Moerasspirea en Valeriaan+Riet-associatie, subassociatie van Moerasvaren","RG Calystegia sep. - Phragmites a-[Conv.-Filup.]+Valeriano-Filipenduletum+Typho-Phragmitetum thelypteridetosum",1.3662500000000000e-01,"32-c+32A1+08B3c",
"09-1+16B-3","vegetatie","Zwarte zegge en Moerasstruisgras Wateraardbei+Kale jonker en/of Echte koekoeksbloem zure soorten",1,,"RG Snavelzegge-Wateraardbei-[Kl. kleine Zeggen]+RG Moerasrolklaver-Echte koekoeksbl.-[Dotter-v.]","RG Carex rostrata - Potentilla pal.-[Parvocar.]+RG Lotus uliginosus - Lychnis flos-cu.[Calthion]",1.1308600000000001e-01,"09-f+16B-b",
"16B1-1+16B-2","vegetatie","Waterkruiskruid en Gewone dotterbloem Typische vorm+Kale jonker en/of Echte koekoeksbloem Typische vorm",1,,"Ass. Boterbloem en Waterkruiskruid, typ. subass.+RG Moerasrolklaver-Echte koekoeksbl.-[Dotter-v.]","Ranunculo-Senecionetum typicum+RG Lotus uliginosus - Lychnis flos-cu.[Calthion]",4.5082999999999998e-02,"16B1a+16B-b",
"16B-3+16B1-1+16B-4","vegetatie","Kale jonker en/of Echte koekoeksbloem zure soorten+Waterkruiskruid en Gewone dotterbloem Typische vorm+Kale jonker en/of Echte koekoeksbloem Tweerijige zegge",1,,"RG Moerasrolklaver-Echte koekoeksbl.-[Dotter-v.]+Ass. Boterbloem en Waterkruiskruid, typ. subass.+RG Tweerijige zegge-Padderus-[Dotterbloem-verb.]","RG Lotus uliginosus - Lychnis flos-cu.[Calthion]+Ranunculo-Senecionetum typicum+RG Carex disticha-Juncus subnodulosus-[Calthion]",1.7327200000000001e-01,"16B-b+16B1a+16B-e",
"09A2-6+09A2-1","vegetatie","Riet met veenmossen Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm",11,,"Veenmosrietland, typische subassociatie+Veenmosrietland, typische subassociatie","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum typicum",2.6411160000000002e+00,"09A2a+09A2a",
"39A-1+08B3-3+09A2-6","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet met veenmossen Typische vorm",1,,"RG Zachte berk-[Elzen-verbond]+Riet-associatie, subassociatie van Moerasvaren+Veenmosrietland, typische subassociatie","RG Betula pubescens-[Alnion glutinosae]+Typho-Phragmitetum thelypteridetosum+Pallavicinio-Sphagnetum typicum",1.1540889999999999e+00,"39A-f+08B3c+09A2a",
"50A-1+08-2","vegetatie","Open water Typische vorm+Riet met Klein kroos en/of Kikkerbeet Typische vorm",1,,"water+RG Riet-[Riet-klasse]","nvt+RG Phragmites australis-[Phragmitetea]",6.2455999999999998e-02,"50A+08-f",
"09-13+16-5","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Gewoon reukgras, Gewoon struisgras en Rood zwenkgra Typische vorm",2,,"RG Hennegras-[Klasse der kleine Zeggen]+RG S.weegbr.-Kruip.boterb.-R.zwenk.[Kl.v.grasl.]","RG Calamagrostis canescens-[Parvocaricetea]+RG Plantago -Ranunculus -Festuca rub.-[Mol-Arr.]",3.6619999999999997e-01,"09-g+16-g",
"39A-2+08B3-3","vegetatie","Zachte berk Rietklasse-soorten+Riet, Moeraswalstro en Moerasvaren Moerasvaren",2,,"RG Zachte berk-[Elzen-verbond]+Riet-associatie, subassociatie van Moerasvaren","RG Betula pubescens-[Alnion glutinosae]+Typho-Phragmitetum thelypteridetosum",1.0271120000000000e+00,"39A-f+08B3c",
"08B3-2+08C-9","vegetatie","Kleine lisdodde Moerasvaren+Riet, Paddenrus en Wateraardbei Verarmde vorm",1,,"Riet-associatie, subassociatie van Moerasvaren+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Typho-Phragmitetum thelypteridetosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",3.1341000000000001e-02,"08B3c+08C-e",
"50A-1+09A2-6","vegetatie","Open water Typische vorm+Riet met veenmossen Typische vorm",2,,"water+Veenmosrietland, typische subassociatie","nvt+Pallavicinio-Sphagnetum typicum",2.0927999999999999e-01,"50A+09A2a",
"08B3-3+08C-9","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet, Paddenrus en Wateraardbei Verarmde vorm",1,,"Riet-associatie, subassociatie van Moerasvaren+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Typho-Phragmitetum thelypteridetosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",9.9295999999999995e-02,"08B3c+08C-e",
"09A2-8+08-2","vegetatie","Riet met veenmossen Pijpenstrootje+Riet met Klein kroos en/of Kikkerbeet Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Riet-[Riet-klasse]","Pallavicinio-Sphagnetum molinietosum+RG Phragmites australis-[Phragmitetea]",9.8202999999999999e-02,"09A2b+08-f",
"16-5+09-13","vegetatie","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra Typische vorm+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"RG S.weegbr.-Kruip.boterb.-R.zwenk.[Kl.v.grasl.]+RG Hennegras-[Klasse der kleine Zeggen]","RG Plantago -Ranunculus -Festuca rub.-[Mol-Arr.]+RG Calamagrostis canescens-[Parvocaricetea]",2.4152799999999996e-01,"16-g+09-g",
"09A2-6+09A2-2","vegetatie","Riet met veenmossen Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje",7,,"Veenmosrietland, typische subassociatie+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum molinietosum",1.9068320000000001e+00,"09A2a+09A2b",
"08-2+09B-4","vegetatie","Riet met Klein kroos en/of Kikkerbeet Typische vorm+Riet, Paddenrus en Wateraardbei Typische vorm",2,,"RG Riet-[Riet-klasse]+RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]","RG Phragmites australis-[Phragmitetea]+RG Utricularia minor-[Phragmition/Caricion lasi]",2.7628399999999997e-01,"08-f+09B-a",
"39A-2+40A-6","vegetatie","Zachte berk Rietklasse-soorten+Zachte berk Brede stekelvaren en bramen",1,,"RG Zachte berk-[Elzen-verbond]+RG Gewone braam-[Verbond der berkenbroekbossen]","RG Betula pubescens-[Alnion glutinosae]+RG Rubus fruticosus s.l.-[Betulion pubescentis]",1.3884600000000000e-01,"39A-f+40A-c",
"09A2-2+09B-4","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Paddenrus en Wateraardbei Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]","Pallavicinio-Sphagnetum molinietosum+RG Utricularia minor-[Phragmition/Caricion lasi]",8.6482899999999996e-01,"09A2b+09B-a",
"09A2-6+08-2","vegetatie","Riet met veenmossen Typische vorm+Riet met Klein kroos en/of Kikkerbeet Typische vorm",1,,"Veenmosrietland, typische subassociatie+RG Riet-[Riet-klasse]","Pallavicinio-Sphagnetum typicum+RG Phragmites australis-[Phragmitetea]",1.6602400000000000e-01,"09A2a+08-f",
"08C-9+08-2","vegetatie","Riet, Paddenrus en Wateraardbei Verarmde vorm+Riet met Klein kroos en/of Kikkerbeet Typische vorm",1,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+RG Riet-[Riet-klasse]","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+RG Phragmites australis-[Phragmitetea]",2.2860099999999997e-01,"08C-e+08-f",
"08B3-3+08-5","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+rietfacies Typische vorm",2,,"Riet-associatie, subassociatie van Moerasvaren+RG Riet-[Riet-klasse]","Typho-Phragmitetum thelypteridetosum+RG Phragmites australis-[Phragmitetea]",1.8647900000000001e-01,"08B3c+08-f",
"36A2-2+39A-5","vegetatie","Grauwe wilg Typische vorm+Zwarte els en storingsoorten bramen",1,,"Associatie van Grauwe wilg+RG Gewone braam-[Elzen-verbond]","Salicetum cinereae+RG Rubus fruticosus-[Alnion glutinosae]",4.0819100000000003e-01,"36A2+39A-b",
"32-11+32-6","vegetatie","Riet en ruigtkruiden Reuzenbalsemien+Riet en Grote brandnetel Typische vorm.",1,,"VOORLOPIG ONBEKEND+RG Brandnetel-[Klasse d natte strooiselruigten]","nvt+RG Urtica dioica-[Convolvulo-Filipenduletea]",8.3546999999999996e-02,"400+32-f",
"39A-6+36A2-2","vegetatie","Zwarte els en storingsoorten Grote brandnetel+Grauwe wilg Typische vorm",1,,"RG Grote brandnetel-[Elzen-verbond]+Associatie van Grauwe wilg","RG Urtica dioica-[Alnion glutinosae]+Salicetum cinereae",1.3321200000000000e-01,"39A-d+36A2",
"38A-1+36A2-2","vegetatie","Type van Schietwilg Grote brandnetel+Grauwe wilg Typische vorm",1,,"RG Grote brandnetel-[Wilgen-verbond]+Associatie van Grauwe wilg","RG Urtica dioica-[Salicion albae]+Salicetum cinereae",1.1167500000000000e-01,"38A-a+36A2",
"38A-1+39A-2","vegetatie","Type van Schietwilg Grote brandnetel+Zachte berk Rietklasse-soorten",1,,"RG Grote brandnetel-[Wilgen-verbond]+RG Zachte berk-[Elzen-verbond]","RG Urtica dioica-[Salicion albae]+RG Betula pubescens-[Alnion glutinosae]",6.3927999999999999e-02,"38A-a+39A-f",
"32-11+08B3-3","vegetatie","Riet en ruigtkruiden Reuzenbalsemien+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"VOORLOPIG ONBEKEND+Riet-associatie, subassociatie van Moerasvaren","nvt+Typho-Phragmitetum thelypteridetosum",2.0345400000000000e-01,"400+08B3c",
"39A-4+39A-2","vegetatie","Zwarte els en storingsoorten Brede stekelvaren+Zachte berk Rietklasse-soorten",4,,"RG Brede stekelvaren-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]","RG Dryopteris dilatata-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]",1.9378230000000003e+00,"39A-e+39A-f",
"09-13+33-2+16-5","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Riet en ruigtkruiden bramen+Gewoon reukgras, Gewoon struisgras en Rood zwenkgra Typische vorm",1,,"RG Hennegras-[Klasse der kleine Zeggen]+DG Gewone braam (R. armeniacus)-[nitrofie.zomen]+RG S.weegbr.-Kruip.boterb.-R.zwenk.[Kl.v.grasl.]","RG Calamagrostis canescens-[Parvocaricetea]+DG Rubus armeniacus-[Galio-Urticetea]+RG Plantago -Ranunculus -Festuca rub.-[Mol-Arr.]",1.8475300000000000e-01,"09-g+33/a+16-g",
"08B3-3+32-7+32-9","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet en ruigtkruiden Bitterzoet+Riet en ruigtkruiden Haagwinde",1,,"Riet-associatie, subassociatie van Moerasvaren+RG Bitterzoet - Riet-[Kl. natte strooiselruigt.]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","Typho-Phragmitetum thelypteridetosum+RG Solanum dulcamara-Phragmites a-[Conv.-Filup.]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",4.2049500000000001e-01,"08B3c+32-d+32-c",
"09A2-6+09-13","vegetatie","Riet met veenmossen Typische vorm+Riet, Hennegras en Moerasstruisgras Hennegras",9,,"Veenmosrietland, typische subassociatie+RG Hennegras-[Klasse der kleine Zeggen]","Pallavicinio-Sphagnetum typicum+RG Calamagrostis canescens-[Parvocaricetea]",2.3239730000000005e+00,"09A2a+09-g",
"08B3-3+32-9","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet en ruigtkruiden Haagwinde",4,,"Riet-associatie, subassociatie van Moerasvaren+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","Typho-Phragmitetum thelypteridetosum+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",5.6506200000000006e-01,"08B3c+32-c",
"09A2-6+08C-9","vegetatie","Riet met veenmossen Typische vorm+Riet, Paddenrus en Wateraardbei Verarmde vorm",2,,"Veenmosrietland, typische subassociatie+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum typicum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",3.2250099999999998e-01,"09A2a+08C-e",
"08C1-1+09A2-6","vegetatie","Hoge cyperzegge, Pluimzegge en Moerasvaren Waterscheerling+Riet met veenmossen Typische vorm",1,,"Ass. Waterscheerling-Hoge cyperzegge, typ subass+Veenmosrietland, typische subassociatie","Cicuto-Caricetum typicum+Pallavicinio-Sphagnetum typicum",2.4506300000000000e-01,"08C1a+09A2a",
"08C-8+09A2-6","vegetatie","Hoge cyperzegge, Pluimzegge en Moerasvaren Pluimzegge+Riet met veenmossen Typische vorm",1,,"RG Pluimzegge-[Verbond der grote Zeggen]+Veenmosrietland, typische subassociatie","RG Carex paniculata-[Magnocaricion]+Pallavicinio-Sphagnetum typicum",1.0036700000000000e-01,"08C-c+09A2a",
"09A2-6+08C-9+09A2-5","vegetatie","Riet met veenmossen Typische vorm+Riet, Paddenrus en Wateraardbei Verarmde vorm+Kamvaren, veenmossen en Ronde zonnedauw Paddenrus",1,,"Veenmosrietland, typische subassociatie+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum typicum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+Pallavicinio-Sphagnetum molinietosum",2.5296800000000003e-01,"09A2a+08C-e+09A2b",
"40A-1+39A-1","vegetatie","Zachte berk en Veenmossen Pijpenstrootje+Zachte berk en Veenmossen Rietklassesoorten",1,,"RG Pijpestrootje-[Verbond der berkenbroekbossen]+RG Zachte berk-[Elzen-verbond]","RG Molinia caerulea-[Betulion pubescentis]+RG Betula pubescens-[Alnion glutinosae]",8.6572299999999991e-01,"40A-b+39A-f",
"39A1-1+39A-8","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Zwarte els, Moerasvaren en/of Grote zeggen Moeraszegge",1,,"Moerasvaren-elzenbroek, typische subassociatie+RG Moeraszegge-[Elzen-verbond]","Thelypterido-Alnetum typicum+RG Carex acutiformis-[Alnion glutinosae]",1.2033350000000000e+00,"39A1a+39A-c",
"09A2-6+09A2-1+08B3-3","vegetatie","Riet met veenmossen Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",2,,"Veenmosrietland, typische subassociatie+Veenmosrietland, typische subassociatie+Riet-associatie, subassociatie van Moerasvaren","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum typicum+Typho-Phragmitetum thelypteridetosum",5.5811800000000000e-01,"09A2a+09A2a+08B3c",
"08B3-3+09A2-6","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet met veenmossen Typische vorm",5,,"Riet-associatie, subassociatie van Moerasvaren+Veenmosrietland, typische subassociatie","Typho-Phragmitetum thelypteridetosum+Pallavicinio-Sphagnetum typicum",3.3812900000000001e-01,"08B3c+09A2a",
"09A2-6+08B3-3+09A2-2","vegetatie","Riet met veenmossen Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje",1,,"Veenmosrietland, typische subassociatie+Riet-associatie, subassociatie van Moerasvaren+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum typicum+Typho-Phragmitetum thelypteridetosum+Pallavicinio-Sphagnetum molinietosum",5.1769600000000005e-01,"09A2a+08B3c+09A2b",
"09-13+08C-12+32-9","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Riet met grote zeggen Moeraszegge+Riet en ruigtkruiden Haagwinde",1,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Moeraszegge-[Verbond der grote Zeggen]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Calamagrostis canescens-[Parvocaricetea]+RG Carex acutiformis-[Magnocaricion]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",2.8821700000000000e-01,"09-g+08C-b+32-c",
"09-13+08C-12","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Riet met grote zeggen Moeraszegge",4,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Moeraszegge-[Verbond der grote Zeggen]","RG Calamagrostis canescens-[Parvocaricetea]+RG Carex acutiformis-[Magnocaricion]",7.7575599999999989e-01,"09-g+08C-b",
"09A2-2+09A2-3","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw Molinietalia-soorten",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum",1.1323240000000001e+00,"09A2b+09A2b",
"09A2-5+09A2-3","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Kamvaren, veenmossen en Ronde zonnedauw Molinietalia-soorten",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum",2.3558800000000002e-01,"09A2b+09A2b",
"09A2-6+09A2-2+09-13","vegetatie","Riet met veenmossen Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"Veenmosrietland, typische subassociatie+Veenmosrietland, subassociatie van pijpestrootje+RG Hennegras-[Klasse der kleine Zeggen]","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum molinietosum+RG Calamagrostis canescens-[Parvocaricetea]",7.1668900000000002e-01,"09A2a+09A2b+09-g",
"08-5+08B3-4","vegetatie","rietfacies Typische vorm+Riet, Moeraswalstro en Moerasvaren Typische vorm",2,,"RG Riet-[Riet-klasse]+Riet-associatie, subassociatie van Moerasvaren","RG Phragmites australis-[Phragmitetea]+Typho-Phragmitetum thelypteridetosum",5.5273099999999997e-01,"08-f+08B3c",
"09-13+08-1","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Holpijp Typische vorm",1,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Holpijp-[Riet-klasse/Klasse d. kleine Zeggen]","RG Calamagrostis canescens-[Parvocaricetea]+RG Equisetum fluviatile-[Phragmitetea/Parvocar]",1.7248200000000000e-01,"09-g+08-k",
"08C1-3+08B3-1+09A2-5","vegetatie","Hoge cyperzegge, Pluimzegge en Moerasvaren Moerasvaren+Kleine lisdodde Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Paddenrus",1,,"Ass. Waterscheerl.-H.cyperzegge, sub Moerasvaren+Riet-associatie, soortenarme subassociatie+Veenmosrietland, subassociatie van pijpestrootje","Cicuto-Caricetum thelypteridetosum+Typho-Phragmitetum inops+Pallavicinio-Sphagnetum molinietosum",3.2294999999999997e-02,"08C1c+08B3d+09A2b",
"09A2-8+09A2-2+08B3-3","vegetatie","Riet met veenmossen Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje+Riet-associatie, subassociatie van Moerasvaren","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum+Typho-Phragmitetum thelypteridetosum",8.0942000000000000e-02,"09A2b+09A2b+08B3c",
"09A2-6+09A2-1+08C-11","vegetatie","Riet met veenmossen Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Riet met grote zeggen Pluimzegge",2,,"Veenmosrietland, typische subassociatie+Veenmosrietland, typische subassociatie+RG Pluimzegge-[Verbond der grote Zeggen]","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum typicum+RG Carex paniculata-[Magnocaricion]",6.7245599999999994e-01,"09A2a+09A2a+08C-c",
"36A2-2+39A-2","vegetatie","Grauwe wilg Typische vorm+Zachte berk Rietklasse-soorten",2,,"Associatie van Grauwe wilg+RG Zachte berk-[Elzen-verbond]","Salicetum cinereae+RG Betula pubescens-[Alnion glutinosae]",3.3013400000000004e-01,"36A2+39A-f",
"09A2-6+09A2-2+08C-11","vegetatie","Riet met veenmossen Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet met grote zeggen Pluimzegge",1,,"Veenmosrietland, typische subassociatie+Veenmosrietland, subassociatie van pijpestrootje+RG Pluimzegge-[Verbond der grote Zeggen]","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum molinietosum+RG Carex paniculata-[Magnocaricion]",2.0315800000000001e-01,"09A2a+09A2b+08C-c",
"39A1-1+39A-2+36A2-2","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Zachte berk Rietklasse-soorten+Grauwe wilg Typische vorm",1,,"Moerasvaren-elzenbroek, typische subassociatie+RG Zachte berk-[Elzen-verbond]+Associatie van Grauwe wilg","Thelypterido-Alnetum typicum+RG Betula pubescens-[Alnion glutinosae]+Salicetum cinereae",3.5831800000000003e-01,"39A1a+39A-f+36A2",
"09A2-6+08C-11","vegetatie","Riet met veenmossen Typische vorm+Riet met grote zeggen Pluimzegge",3,,"Veenmosrietland, typische subassociatie+RG Pluimzegge-[Verbond der grote Zeggen]","Pallavicinio-Sphagnetum typicum+RG Carex paniculata-[Magnocaricion]",1.8932299999999996e-01,"09A2a+08C-c",
"08C-11+09A2-6","vegetatie","Riet met grote zeggen Pluimzegge+Riet met veenmossen Typische vorm",3,,"RG Pluimzegge-[Verbond der grote Zeggen]+Veenmosrietland, typische subassociatie","RG Carex paniculata-[Magnocaricion]+Pallavicinio-Sphagnetum typicum",5.9476399999999996e-01,"08C-c+09A2a",
"39A-2+39A-4+36A2-2","vegetatie","Zachte berk Rietklasse-soorten+Zwarte els en storingsoorten Brede stekelvaren+Grauwe wilg Typische vorm",1,,"RG Zachte berk-[Elzen-verbond]+RG Brede stekelvaren-[Elzen-verbond]+Associatie van Grauwe wilg","RG Betula pubescens-[Alnion glutinosae]+RG Dryopteris dilatata-[Alnion glutinosae]+Salicetum cinereae",6.4754999999999993e-02,"39A-f+39A-e+36A2",
"09A2-2+09-8","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+haarmossen Dominantievorm van Gewoon haarmos",2,,"Veenmosrietland, subassociatie van pijpestrootje+DG Gewoon haarmos-[Klasse der kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+DG Polytrichum commune-[Parvocaricetea]",1.8797899999999998e-01,"09A2b+09/c",
"09A2-2+08B3-8+11B2-4","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Hennegras en Moerasstruisgras Pijpenstrootje+Gewone dophei en Riet Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+Riet-associatie, soortenarme subassociatie+Moerasheide","Pallavicinio-Sphagnetum molinietosum+Typho-Phragmitetum inops+Sphagno palustris-Ericetum",6.6388300000000000e-01,"09A2b+08B3d+11B2",
"09A2-2+09-9+08B3-8","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+haarmossen Pijpenstrootje+Riet, Hennegras en Moerasstruisgras Pijpenstrootje",1,,"Veenmosrietland, subassociatie van pijpestrootje+DG Gewoon haarmos-[Klasse der kleine Zeggen]+Riet-associatie, soortenarme subassociatie","Pallavicinio-Sphagnetum molinietosum+DG Polytrichum commune-[Parvocaricetea]+Typho-Phragmitetum inops",1.3785500000000001e-01,"09A2b+09/c+08B3d",
"39A-2+40A-2","vegetatie","Zachte berk Rietklasse-soorten+Zachte berk en Veenmossen Braam",1,,"RG Zachte berk-[Elzen-verbond]+RG Gewone braam-[Verbond der berkenbroekbossen]","RG Betula pubescens-[Alnion glutinosae]+RG Rubus fruticosus s.l.-[Betulion pubescentis]",1.0810299999999999e-01,"39A-f+40A-c",
"39A-1+39A-3","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zwarte els en storingsoorten Hennengras",1,,"RG Zachte berk-[Elzen-verbond]+RG Hennegras-[Elzen-verbond]","RG Betula pubescens-[Alnion glutinosae]+RG Calamagrostis canescens-[Alnion glutinosae]",6.6347199999999995e-01,"39A-f+39A-a",
"39A-3+39A-1","vegetatie","Zwarte els en storingsoorten Hennengras+Zachte berk en Veenmossen Rietklassesoorten",1,,"RG Hennegras-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]","RG Calamagrostis canescens-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]",3.1861200000000001e-01,"39A-a+39A-f",
"09A2-6+08B3-3","vegetatie","Riet met veenmossen Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",12,,"Veenmosrietland, typische subassociatie+Riet-associatie, subassociatie van Moerasvaren","Pallavicinio-Sphagnetum typicum+Typho-Phragmitetum thelypteridetosum",3.3350750000000002e+00,"09A2a+08B3c",
"05B3-1+05C1-1","vegetatie","Witte waterlelie en/of Gele plomp vrijwel alleen Gele Plomp+Krabbenscheer Typische vorm",1,,"Ass. Witte waterlelie en Gele plomp, typ. subass+Krabbescheer associatie","Myriophyllo-Nupharetum typicum+Stratiotetum",3.2392999999999998e-02,"05B3a+05C1",
"39A-8+36A2-2+09A2-6","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Moeraszegge+Grauwe wilg Typische vorm+Riet met veenmossen Typische vorm",1,,"RG Moeraszegge-[Elzen-verbond]+Associatie van Grauwe wilg+Veenmosrietland, typische subassociatie","RG Carex acutiformis-[Alnion glutinosae]+Salicetum cinereae+Pallavicinio-Sphagnetum typicum",9.3567199999999995e-01,"39A-c+36A2+09A2a",
"09A2-6+32-9","vegetatie","Riet met veenmossen Typische vorm+Riet en ruigtkruiden Haagwinde",2,,"Veenmosrietland, typische subassociatie+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","Pallavicinio-Sphagnetum typicum+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",4.8455099999999995e-01,"09A2a+32-c",
"09A2-5+09A2-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Riet met veenmossen Typische vorm",4,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, typische subassociatie","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum typicum",1.6982370000000000e+00,"09A2b+09A2a",
"08B3-4+32-9","vegetatie","Riet, Moeraswalstro en Moerasvaren Typische vorm+Riet en ruigtkruiden Haagwinde",3,,"Riet-associatie, subassociatie van Moerasvaren+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","Typho-Phragmitetum thelypteridetosum+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",4.5126100000000002e-01,"08B3c+32-c",
