intern_id,ElmID,Datum,Locatietype,SamengesteldeLegenda,VereenvoudigdeLegenda,ToevoegingLegenda,InterpretatieLegenda,AbiotiekLegenda,Oppervlakte,SbbType
1142,18080,"10/21/13 00:00:00","v","36A2-2+08C-11+09A2-1","21","e6+h2+o4+q+v2",,,1.1866900000000001e-01,"36A2+08C-c+09A2a"
1143,18081,"10/21/13 00:00:00","v","09A2-6+09A2-1","10","e6+h3+o2+q+v4",,,1.7914200000000000e-01,"09A2a+09A2a"
1144,18082,"10/21/13 00:00:00","v","09-13+09A2-6","7","e6+h4+o2+q+v2",,,4.7247999999999998e-02,"09-g+09A2a"
1146,18084,"10/21/13 00:00:00","v","09A2-2+09A2-6","10","e6+h3+o2+q+v4",,,2.0462400000000000e-01,"09A2b+09A2a"
1148,18086,"10/21/13 00:00:00","v","09-13+09A2-6","7","e1+h4+q+v2",,,2.6530700000000002e-01,"09-g+09A2a"
1149,18087,"10/21/13 00:00:00","v","09A2-6+09-13+09A2-1","10","e6+h4+q+v4",,,5.6667000000000009e-02,"09A2a+09-g+09A2a"
1151,18089,"10/21/13 00:00:00","v","09A2-5+09B2-2","10","e1+h2+o3+q+v4",,,1.2459099999999998e-01,"09A2b+09B2a"
1154,18092,"10/21/13 00:00:00","v","08B3-3+36A2-2+09A2-6","5","e3+h3+o4+q+v2",,,9.0683000000000000e-02,"08B3c+36A2+09A2a"
1162,19008,"09/02/13 00:00:00","v","09A2-2+09A2-5","10","e1+v4",,,2.2400999999999999e-01,"09A2b+09A2b"
1164,19010,"09/02/13 00:00:00","v","09A2-5+08C-9+06B2-1","10","e6+v4",,,2.1468299999999998e-01,"09A2b+08C-e+06B2"
1175,19023,"08/02/13 00:00:00","v","32-9+08-2","19","e1",,,6.7764899999999995e-01,"32-c+08-f"
1176,19024,"08/02/13 00:00:00","v","08-2+01-1","4","e1+v1",,,2.8227999999999996e-02,"08-f+01-b"
1185,19033,"08/02/13 00:00:00","v","09A2-3+06B2-1","10","e1+h2+v4",,,5.9740999999999995e-02,"09A2b+06B2"
1187,19035,"08/02/13 00:00:00","v","09A2-2+09A2-5","10","e1",,,1.2286300000000001e-01,"09A2b+09A2b"
1196,19045,"09/02/13 00:00:00","v","09B-4+06B2-1","5","e1",,,3.4568000000000002e-02,"09B-a+06B2"
1211,19060,"09/03/13 00:00:00","v","09A2-1+09A2-6","10","e1+h2+v4",,,2.9102800000000001e-01,"09A2a+09A2a"
1214,19063,"09/03/13 00:00:00","v","09A2-5+09A2-2","10","e1+v4",,,4.6824900000000008e-01,"09A2b+09A2b"
1222,19502,"08/28/13 00:00:00","v","32-4+12B-1","19","e1+r4",,,1.2206340000000000e+00,"32-e+12B-j"
1227,19507,"08/28/13 00:00:00","v","50A-1+29A1-1","1","e1+t",,,1.7042800000000000e-01,"50A+29A1"
1228,19508,"08/28/13 00:00:00","v","08-6+32-4","7","e1+r2",,,4.1935699999999998e-01,"08-a+32-e"
1230,19510,"08/28/13 00:00:00","v","12B-1+32-4+08-6","14","e1+r2",,,3.6877199999999999e-01,"12B-j+32-e+08-a"
1231,19511,"08/28/13 00:00:00","v","08-6+32-4","7","e1+r2",,,1.1128099999999999e-01,"08-a+32-e"
1232,19512,"08/28/13 00:00:00","v","05D-1+08B3-1+08-4","2","e1+t",,,3.5408499999999998e-01,"05D-a+08B3d+08-h"
1234,19514,"08/30/13 00:00:00","v","16-1+16-13+16B-6","14","e1",,,3.0009200000000003e-01,"16-m+16/c+16B/a"
1237,19517,"08/30/13 00:00:00","v","32-4+29A1-1+08-5","19","e1+q+r4",,,7.7575600000000000e-01,"32-e+29A1+08-f"
1241,19521,"08/30/13 00:00:00","v","08-6+08-5","7","e1+q",,,8.8449000000000000e-02,"08-a+08-f"
1246,19526,"08/30/13 00:00:00","v","08-6+32-4","7","e1+r2",,,1.3162199999999999e-01,"08-a+32-e"
1247,19527,"08/30/13 00:00:00","v","08-6+08-5","7","e1+q",,,6.9792999999999994e-02,"08-a+08-f"
1248,19528,"08/30/13 00:00:00","v","50A-1+32-4","1","e1+r2",,,4.4026900000000008e-01,"50A+32-e"
1251,19531,"08/30/13 00:00:00","v","50A-1+08-6","1","e1",,,3.6879899999999999e-01,"50A+08-a"
