Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
1214,219,"s","1",1
1214,260,"o","4",3
1214,418,"o","5",3
1214,688,"f","5",8
1214,427,"r","4",1
1215,418,"f","5",8
1216,260,"r","3",1
1216,418,"o","5",3
1216,688,"f","5",8
1216,427,"r","4",1
1216,1324,"r","4",1
1216,1230,"r","4",1
1217,1324,"o","5",3
1217,1230,"f","5",8
1222,456,"o","4",3
1223,997,"f","5",8
1224,997,"f","4",8
1313,1099,"r","2",1
1315,997,"la","4",9
1315,1099,"f","3",8
1315,1255,"o","3",3
1316,688,"o","4",3
1316,346,"o","3",3
1316,427,"la","5",9
1316,1324,"r","4",1
1317,248,"a","5",15
1317,1199,"f","4",8
1317,418,"o","4",3
1317,857,"o","3",3
1317,924,"s","2",1
1318,688,"o","3",3
1318,427,"o","4",3
1320,420,"r","2",1
1320,688,"r","3",1
1321,427,"o","4",3
1322,688,"o","4",3
1323,688,"f","5",8
1324,997,"la","3",9
1324,1099,"r","2",1
1324,1255,"a","4",15
1325,248,"r","4",1
1325,1199,"lf","4",3
1325,688,"o","5",3
1325,549,"s","1",1
1326,1099,"r","2",1
1230,1099,"s","1",1
1233,997,"a","5",15
1239,997,"a","5",15
1478,420,"f","4",8
1479,420,"f","4",8
1479,427,"lf","4",3
1481,420,"r","2",1
1483,890,"s","2",1
1483,420,"f","4",8
1483,427,"o","3",3
1486,212,"f","5",8
1486,1275,"o","3",3
1487,427,"lf","4",3
1488,427,"la","5",9
1489,427,"ld","5",22
1490,688,"f","4",8
1491,420,"r","2",1
1491,688,"o","4",3
1491,427,"o","3",3
1493,420,"lf","3",3
1493,427,"f","5",8
1494,420,"la","5",9
1494,427,"o","3",3
1495,212,"o","3",3
1495,420,"lf","4",3
1495,427,"f","5",8
1496,1099,"r","3",1
1497,688,"o","4",3
1497,1099,"s","1",1
1497,427,"r","3",1
1498,1099,"f","3",8
1498,178,"a","4",15
1499,427,"f","5",8
1500,1275,"o","3",3
1500,427,"f","5",8
1502,427,"f","4",8
1281,997,"a","5",15
1284,985,"f","4",8
1286,997,"f","4",8
1286,985,"o","3",3
1299,1099,"o","3",3
1299,1255,"s","2",1
1301,1099,"f","4",8
1301,1255,"o","3",3
1301,427,"f","4",8
1328,212,"r","2",1
1328,1099,"lf","3",3
1328,427,"lf","4",3
1329,212,"o","3",3
1329,346,"r","2",1
1329,1099,"o","3",3
1329,427,"a","5",15
1330,212,"f","5",8
1330,427,"a","5",15
1333,212,"r","3",1
1336,1099,"r","2",1
1336,427,"a","5",15
1337,1099,"o","3",3
1337,427,"a","5",15
1341,1099,"r","2",1
1343,1099,"o","3",3
1344,997,"ld","5",22
1344,1255,"ld","5",22
1345,997,"lf","5",3
1345,1099,"o","3",3
1345,1255,"o","3",3
1346,997,"lf","5",3
1346,1255,"o","3",3
